FID,Id,OID_,Id_1,Rock_Size,Bottom_to_,Value,COUNT,MIN,MAX,MEAN,sqft,sgmnt_id,element_id
176,178,120,178,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,10877,-1.749606132510000,-1.000057458880000,-1.288885297810000,10877,24,20
177,179,165,179,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,3249,-0.999928951260000,-0.918509960180000,-0.962331665150000,3249,24,20
178,180,121,180,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,5153,-1.679265022280000,-1.000112771990000,-1.406426042120000,5153,24,20
179,181,22,181,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,26,-2.295138359070000,-2.254121780400000,-2.269708752630000,26,25,21
180,182,63,182,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,3739,-2.246917486190000,-1.750182628630000,-1.952059298670000,3739,25,21
181,183,122,183,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,17050,-1.749849557880000,-1.000290393830000,-1.313871250460000,17050,25,21
182,184,23,184,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,73,-2.470427036290000,-2.250905275340000,-2.337967023460000,73,25,21
183,185,24,185,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,1,-2.272046089170000,-2.272046089170000,-2.272046089170000,1,25,21
184,186,64,186,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,2220,-2.247912883760000,-1.750297307970000,-1.991351670510000,2220,25,21
185,187,65,187,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,2914,-2.039104938510000,-1.750027894970000,-1.913801457270000,2914,26,22
186,188,123,188,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,1,-1.000163078310000,-1.000163078310000,-1.000163078310000,1,26,22
187,189,124,189,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,11333,-1.749387741090000,-1.000007629390000,-1.356521077650000,11333,26,22
188,190,166,190,4 Single Layer 9"" Rock (6-12""),-1.000000000_-0.500000000,2,4180,-0.999999046330000,-0.915324687960000,-0.960591593660000,4180,26,22
189,191,125,191,3 Multi-Layer (12-21""),-1.749999999_-1.000000001,3,3575,-1.749996185300000,-1.000320434570000,-1.437567942690000,3575,26,22
190,192,25,192,1 Multi Layer Deep (Above 27-33""),-3.000000000_-2.250000001,5,18,-2.314170360570000,-2.250237226490000,-2.279208434950000,18,26,22
191,193,66,193,2 Single Layer 24"" Rock (21-27""),-2.250000000_-1.750000000,4,1292,-2.248056173320000,-1.750066757200000,-1.914554932910000,1292,26,22
